date,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10,monthly_average,Label2,Label3,raw_text,clean_text,len_raw,len_clean
2016-06-10,Corn Prices in Brazil Remain Strong due to Lower Production,2016 U.S. Crop Conditions - Corn Steady Soybeans down 2%,Brazilian Soybean Exports Strong Corn Exports Decline,Cost of Controlling White Flies Surging in Brazil,2016 U.S. Crop Conditions - Corn Steady Soybeans down Slightly,Report Concerning Cost of Production in North & South America,Safrinha Corn Situation in Mato Grosso continues to Decline,Livestock Producers in Brazil Relieved that Corn Prices are Falling,Brazilian Farmers Continue to Report Disappointing Corn Yields,U.S. Corn Condition holds Steady Soybeans Decline Slightly,"10,96",1,1,Corn Prices in Brazil Remain Strong due to Lower Production U.S. Corn Condition holds Steady Soybeans Decline Slightly 2016 U.S. Crop Conditions - Corn Steady Soybeans down 2% Brazilian Soybean Exports Strong Corn Exports Decline Cost of Controlling White Flies Surging in Brazil 2016 U.S. Crop Conditions - Corn Steady Soybeans down Slightly Report Concerning Cost of Production in North & South America Safrinha Corn Situation in Mato Grosso continues to Decline Livestock Producers in Brazil Relieved that Corn Prices are Falling Brazilian Farmers Continue to Report Disappointing Corn Yields,corn price brazil remain strong due lower production corn condition hold steady soybean decline slightly crop condition corn steady soybean brazilian soybean export strong corn export decline cost controlling white fly surging brazil crop condition corn steady soybean slightly concerning cost production north south america safrinha corn situation mato grosso continues decline livestock producer brazil relieved corn price falling brazilian farmer continue disappointing corn yield,90,65
2016-07-12,Freight Rates Decline in Brazil due to Excess Capacity,Brazil's Soybean Acreage to Expand 1.5% in 2016/17,U.S. Corn Condition Declines 2% Soybeans Unchanged,Domestic Corn Prices in Brazil continue to Surge Higher,Dry Weather results in Increase in Fires in Central Brazil,Domestic Corn Prices in Brazil increased 8% Last Week,Brazilian Government tries to limit Corn Price Increases,Frost in Western Parana could Impact Wheat Production,Trip Report - Western Corn Belt,Argentine Government Wavering on Reduction of Soy Export Tax,"11,33",1,1,Freight Rates Decline in Brazil due to Excess Capacity Argentine Government Wavering on Reduction of Soy Export Tax Brazil's Soybean Acreage to Expand 1.5% in 2016/17 U.S. Corn Condition Declines 2% Soybeans Unchanged Domestic Corn Prices in Brazil continue to Surge Higher Dry Weather results in Increase in Fires in Central Brazil Domestic Corn Prices in Brazil increased 8% Last Week Brazilian Government tries to limit Corn Price Increases Frost in Western Parana could Impact Wheat Production Trip Report - Western Corn Belt,freight rate decline brazil due excess capacity argentine government wavering reduction soy export tax brazil soybean acreage expand corn condition decline soybean unchanged domestic corn price brazil continue surge higher dry weather result increase fire central brazil domestic corn price brazil increased last brazilian government try limit corn price increase frost western parana impact wheat production trip western corn belt,83,60
2016-08-12,Tolls Increase in Brazil Farmers could Pay $ 0.90 per/bu Just in Tolls,Mato Grosso Legislator Promotes Increased use of Irrigation,U.S. Corn Condition Declines Slightly Soybeans hold Steady,Conab Lowers Brazilian Corn Production 1.5 mt in Sept. Report,Brazilian Poultry and Hog Producers React to Higher Corn Prices,Brazil May Need to Import Corn Soybeans Soy Meal and Cotton!,Cost of Producing Soy in Mato Grosso do Sul to increase 11%-12.5%,New Soybean Planting and Harvesting Calendar in Mato Grosso,U.S. Corn Condition Improves Slightly Soybean Condition Steady,Growing Season for Soybeans in far Northern Brazil Same as U.S.,"10,2",0,-1,Tolls Increase in Brazil Farmers could Pay $ 0.90 per/bu Just in Tolls Growing Season for Soybeans in far Northern Brazil Same as U.S. Mato Grosso Legislator Promotes Increased use of Irrigation U.S. Corn Condition Declines Slightly Soybeans hold Steady Conab Lowers Brazilian Corn Production 1.5 mt in Sept. Report Brazilian Poultry and Hog Producers React to Higher Corn Prices Brazil May Need to Import Corn Soybeans Soy Meal and Cotton! Cost of Producing Soy in Mato Grosso do Sul to increase 11%-12.5% New Soybean Planting and Harvesting Calendar in Mato Grosso U.S. Corn Condition Improves Slightly Soybean Condition Steady,toll increase brazil farmer pay perbu toll growing season soybean far northern brazil mato grosso legislator promotes increased irrigation corn condition decline slightly soybean hold steady conab lower brazilian corn production sept brazilian poultry hog producer react higher corn price brazil need import corn soybean soy meal cotton cost producing soy mato grosso sul increase soybean planting harvesting calendar mato grosso corn condition improves slightly soybean condition steady,100,68
2016-09-12,Brazilian Cotton Production to Rebound from Disappointing 2015/16,2016/17 Brazil Soybean Estimate - 101.8 - 104.0 mt up 6.7% to 9.0%,Farmers in Mato Grosso do Sul have Planted 5.4% of their Soybeans,Price of Wheat in Parana below Government Minimum,Confirmation of Soybean Rust Puts Brazilian Farmers on Alert,Argentina Will Not Lower Soybean Export Tax Another 5%,Brazilian Scientists Find Rust Resistant Gene in Wild Soy Variety,Reduced Corn Production in Brazil resulting in Lower Freight Rates,Increased Pork Exports helps Brazilian Hog Producers,South American Crop Production vs. the United States,"9,94",0,-1,Brazilian Cotton Production to Rebound from Disappointing 2015/16 South American Crop Production vs. the United States 2016/17 Brazil Soybean Estimate - 101.8 - 104.0 mt up 6.7% to 9.0% Farmers in Mato Grosso do Sul have Planted 5.4% of their Soybeans Price of Wheat in Parana below Government Minimum Confirmation of Soybean Rust Puts Brazilian Farmers on Alert Argentina Will Not Lower Soybean Export Tax Another 5% Brazilian Scientists Find Rust Resistant Gene in Wild Soy Variety Reduced Corn Production in Brazil resulting in Lower Freight Rates Increased Pork Exports helps Brazilian Hog Producers,brazilian cotton production rebound disappointing south american crop production united state brazil soybean estimate farmer mato grosso sul planted soybean price wheat parana government minimum confirmation soybean rust put brazilian farmer alert argentina lower soybean export tax another brazilian scientist find rust resistant gene wild soy variety reduced corn production brazil resulting lower freight rate increased pork export help brazilian hog producer,94,62
2016-10-12,Soybean Planting in Brazil 52% vs. Average of 49%,Forward Selling of Soy and Corn in Brazil Slower than Last Year,Early Soy Planting Allows Early Safrinha Corn Planting in Parana,2016/17 Brazil Soybeans 41% Planted Slightly Ahead of Average,Brazil Levies Fines for Illegal Grain Production in Amazon Region,"Brazilian Farmers Planting Soybeans ""Day and Night""",Export Tax Plan in Argentina could Result in Slow Farmer Selling,Soy Export Tax Reduction will have Limited Impact in Argentina,Export Tax Plan in Argentina could Result in Slow Farmer Selling,Soybean Moratorium Limits Deforestation in the Brazilian Amazon,"9,59",0,-1,"Soybean Planting in Brazil 52% vs. Average of 49% Soybean Moratorium Limits Deforestation in the Brazilian Amazon Forward Selling of Soy and Corn in Brazil Slower than Last Year Early Soy Planting Allows Early Safrinha Corn Planting in Parana 2016/17 Brazil Soybeans 41% Planted Slightly Ahead of Average Brazil Levies Fines for Illegal Grain Production in Amazon Region Brazilian Farmers Planting Soybeans ""Day and Night"" Export Tax Plan in Argentina could Result in Slow Farmer Selling Soy Export Tax Reduction will have Limited Impact in Argentina Export Tax Plan in Argentina could Result in Slow Farmer Selling",soybean planting brazil average soybean moratorium limit deforestation brazilian amazon forward selling soy corn brazil slower last early soy planting allows early safrinha corn planting parana brazil soybean planted slightly ahead average brazil levy fine illegal grain production amazon region brazilian farmer planting soybean night export tax plan argentina result slow farmer selling soy export tax reduction limited impact argentina export tax plan argentina result slow farmer selling,97,68
2016-11-09,Six Confirmed Cases of Rust in Commercial Soybean Fields in Brazil,Brazil Soybean Planting 90% Complete,In Brazil - Weaker Currency Political Unrest Declining Corn Prices,Brazil to Expand Biodiesel Production over Next Few Years,Brazilian Commission Reviews Chemicals for Soybean Rust Control,Conventional Soybeans Promoted in Recent Meeting in Mato Grosso,2016/17 Brazil Soybean Planting Three Quarters Complete,Argentina Planting - Soy Slower than Average Corn Much Slower,First Cases of Rust Confirmed on Commercial Soybeans in Brazil,Brazilian Planting Progress - Soybeans Three Quarters Planted,"9,88",1,1,Six Confirmed Cases of Rust in Commercial Soybean Fields in Brazil Brazilian Planting Progress - Soybeans Three Quarters Planted Brazil Soybean Planting 90% Complete In Brazil - Weaker Currency Political Unrest Declining Corn Prices Brazil to Expand Biodiesel Production over Next Few Years Brazilian Commission Reviews Chemicals for Soybean Rust Control Conventional Soybeans Promoted in Recent Meeting in Mato Grosso 2016/17 Brazil Soybean Planting Three Quarters Complete Argentina Planting - Soy Slower than Average Corn Much Slower First Cases of Rust Confirmed on Commercial Soybeans in Brazil,six confirmed case rust commercial soybean field brazil brazilian planting progress soybean quarter planted brazil soybean planting complete brazil weaker currency political unrest declining corn price brazil expand biodiesel production next year brazilian commission review chemical soybean rust control conventional soybean promoted recent meeting mato grosso brazil soybean planting quarter complete argentina planting soy slower average corn much slower first case rust confirmed commercial soybean brazil,87,66
2016-12-09,Conab Increases Brazil Crop Estimates Survey Several Weeks Old,Soybeans in Central and Eastern Brazil impacted by Dry Weather,Argentine Farmers confront Floods and Drought Soy Impacted,Grain Exchange lowers Argentina Soy Acreage 300000 Hectares,Brazilian Farmers have only Sold 34% of their Anticipated Soybeans,Early Soybean Harvest Starting in Mato Grosso,Argentina Soybean Crop Disrupted by Adverse Weather,Soy Export Tax in Argentina will Decline starting in January 2018,Crop Insurance in Brazil Covers only 15% of Crop Production,Last Day to Plant Soy in Mato Grosso is Saturday December 31st,"10,19",1,1,Conab Increases Brazil Crop Estimates Survey Several Weeks Old Last Day to Plant Soy in Mato Grosso is Saturday December 31st Soybeans in Central and Eastern Brazil impacted by Dry Weather Argentine Farmers confront Floods and Drought Soy Impacted Grain Exchange lowers Argentina Soy Acreage 300000 Hectares Brazilian Farmers have only Sold 34% of their Anticipated Soybeans Early Soybean Harvest Starting in Mato Grosso Argentina Soybean Crop Disrupted by Adverse Weather Soy Export Tax in Argentina will Decline starting in January 2018 Crop Insurance in Brazil Covers only 15% of Crop Production,conab increase brazil crop estimate survey several week old last plant soy mato grosso saturday december soybean central eastern brazil impacted dry weather argentine farmer confront flood drought soy impacted grain exchange lower argentina soy acreage hectare brazilian farmer sold anticipated soybean early soybean harvest starting mato grosso argentina soybean crop disrupted adverse weather soy export tax argentina decline starting january crop insurance brazil cover crop production,92,67
2017-01-12,Farmers in Parana are Anxious to get Early Soy Harvest Underway,Dryer Weather Stabilizes Soybean Crop in Argentina,Farmers in Paraguay Expecting Mixed Results from their Soybeans,Trip Report - Mato Grosso and Central Brazil,Mato Grosso Soybean Harvest Slowed by Rain for Second Week,Rains Lighten but some Damage done to Mato Grosso Soybeans,Brazilian Trip Report - Goias and Southeastern Mato Grosso,Soy Production in Paraguay and Uruguay could set Record Highs,Corn Prices in Brazil under Pressure from Increased Production,Early Soybean and Corn Harvest about to get Underway in Parana,"10,13",0,0,Farmers in Parana are Anxious to get Early Soy Harvest Underway Early Soybean and Corn Harvest about to get Underway in Parana Dryer Weather Stabilizes Soybean Crop in Argentina Farmers in Paraguay Expecting Mixed Results from their Soybeans Trip Report - Mato Grosso and Central Brazil Mato Grosso Soybean Harvest Slowed by Rain for Second Week Rains Lighten but some Damage done to Mato Grosso Soybeans Brazilian Trip Report - Goias and Southeastern Mato Grosso Soy Production in Paraguay and Uruguay could set Record Highs Corn Prices in Brazil under Pressure from Increased Production,farmer parana anxious get early soy harvest underway early soybean corn harvest get underway parana dryer weather stabilizes soybean crop argentina farmer paraguay expecting mixed result soybean trip mato grosso central brazil mato grosso soybean harvest slowed rain second rain lighten damage done mato grosso soybean brazilian trip goias southeastern mato grosso soy production paraguay uruguay set record high corn price brazil pressure increased production,94,65
2017-02-09,Soy Crop in Paraguay 75% Harvested Safrinha Planting Underway,Brazil Exports Record Soy in February but Below Expectations,Biodiesel Blend in Brazil Increased from B7 to B8 could go to B15,Brazilian Farmers are Slow Sellers of their 2016/17 Soybeans,Barges on Amazon Running Out of Soybeans - Problems on BR-163,Crop Insurance Covers 4.4% of Grain Production in Mato Grosso,Brazilian Farmers Increase Fertilizer Purchases,Paraguay Farmers Expecting a Good 2016/17 Soybean Crop,Mexico to Import more Corn and Soy from Brazil and Argentina,2016/17 Brazil Soybeans 26% Harvested,"10,49",1,1,Soy Crop in Paraguay 75% Harvested Safrinha Planting Underway 2016/17 Brazil Soybeans 26% Harvested Brazil Exports Record Soy in February but Below Expectations Biodiesel Blend in Brazil Increased from B7 to B8 could go to B15 Brazilian Farmers are Slow Sellers of their 2016/17 Soybeans Barges on Amazon Running Out of Soybeans - Problems on BR-163 Crop Insurance Covers 4.4% of Grain Production in Mato Grosso Brazilian Farmers Increase Fertilizer Purchases Paraguay Farmers Expecting a Good 2016/17 Soybean Crop Mexico to Import more Corn and Soy from Brazil and Argentina,soy crop paraguay harvested safrinha planting underway brazil soybean harvested brazil export record soy february expectation biodiesel blend brazil increased brazilian farmer slow seller soybean barge amazon running soybean problem crop insurance cover grain production mato grosso brazilian farmer increase fertilizer purchase paraguay farmer expecting good soybean crop mexico import corn soy brazil argentina,90,54
2017-03-09,Brazilian Soybean Prices Slumping Farmers Remain Slow Sellers,Cattle Prices Decline in Brazil as Processors Slow Production,Brazilian Farmers are Slow Sellers Hoping for Higher Soybean Prices,Reaction to USDA 2017 Prospective Plantings Report,Last Soybeans Harvested in Brazil could push Estimates Higher,Brazilian Soybean Crop 45% Sold Compared to 65% Last Year,Soy in Northern Tocantins Brazil 50% Harvested Yields are Good,Corn Prices in Mato Grosso Slump to Breakeven or Below,Prospective Planting Report to be released at end of the Week,Early Soybean Yields in Argentina are Positive,"10,36",0,-1,Brazilian Soybean Prices Slumping Farmers Remain Slow Sellers Early Soybean Yields in Argentina are Positive Cattle Prices Decline in Brazil as Processors Slow Production Brazilian Farmers are Slow Sellers Hoping for Higher Soybean Prices Reaction to USDA 2017 Prospective Plantings Report Last Soybeans Harvested in Brazil could push Estimates Higher Brazilian Soybean Crop 45% Sold Compared to 65% Last Year Soy in Northern Tocantins Brazil 50% Harvested Yields are Good Corn Prices in Mato Grosso Slump to Breakeven or Below Prospective Planting Report to be released at end of the Week,brazilian soybean price slumping farmer remain slow seller early soybean yield argentina positive cattle price decline brazil processor slow production brazilian farmer slow seller hoping higher soybean price reaction usda prospective planting last soybean harvested brazil push estimate higher brazilian soybean crop sold compared last soy northern tocantins brazil harvested yield good corn price mato grosso slump breakeven prospective planting released end,91,62
2017-04-11,Brazilian Farmers Continue to be Slow Sellers of 2016/17 Soy Crop,2017/18 Soybean Acreage in Brazil Unchanged or Up Only Slightly,Brazil Paraguay Bolivia to Coordinate Efforts to Combat Soy Rust,2017 Wheat Acreage in Parana to Decline 8-10%,Soybean Harvesting must end by Friday May 5th in Mato Grosso,Impact of Soybean Moratorium on Land Use in Mato Grosso,2016/17 Soybean and Full-season Corn Yields set Records in Parana,Some Corn and Soy Replant needed Wheat Impacted as Well,Much of Mato Grosso's Corn Production will be Piled Outside,Brazil Gov. to Subsidize Corn Prices in Mato Grosso this Week,"9,76",0,-1,Brazilian Farmers Continue to be Slow Sellers of 2016/17 Soy Crop Brazil Gov. to Subsidize Corn Prices in Mato Grosso this Week 2017/18 Soybean Acreage in Brazil Unchanged or Up Only Slightly Brazil Paraguay Bolivia to Coordinate Efforts to Combat Soy Rust 2017 Wheat Acreage in Parana to Decline 8-10% Soybean Harvesting must end by Friday May 5th in Mato Grosso Impact of Soybean Moratorium on Land Use in Mato Grosso 2016/17 Soybean and Full-season Corn Yields set Records in Parana Some Corn and Soy Replant needed Wheat Impacted as Well Much of Mato Grosso's Corn Production will be Piled Outside,brazilian farmer continue slow seller soy crop brazil gov subsidize corn price mato grosso soybean acreage brazil unchanged slightly brazil paraguay bolivia coordinate effort combat soy rust wheat acreage parana decline soybean harvesting must end friday mato grosso impact soybean moratorium land mato grosso soybean fullseason corn yield set record parana corn soy replant needed wheat impacted well much mato grossos corn production piled outside,101,65
2017-05-10,Decline of JBS to create Openings for Small and Medium Processors,Fertilizer Deliveries in Brazil Decline during First Trimester of 2017,Conventional Soy Production in Mato Grosso to increase in 2017/18,Safrinha Corn Harvest begins in Brazil and Corn Prices Decline,Low Grain Prices Challenge Brazilian Farmers,Trip Report - Eastern Illinois and Western Indiana,New Organization to Promote Conventional Soy Production in Brazil,Nearly 70% of Brazil's Grain Production is in Four States,Weaker Brazilian Currency could Encourage Soybean Sales,Popcorn Acreage Rebounds Mato Grosso Leads Brazil's Production,"9,58",0,-1,Decline of JBS to create Openings for Small and Medium Processors Popcorn Acreage Rebounds Mato Grosso Leads Brazil's Production Fertilizer Deliveries in Brazil Decline during First Trimester of 2017 Conventional Soy Production in Mato Grosso to increase in 2017/18 Safrinha Corn Harvest begins in Brazil and Corn Prices Decline Low Grain Prices Challenge Brazilian Farmers Trip Report - Eastern Illinois and Western Indiana New Organization to Promote Conventional Soy Production in Brazil Nearly 70% of Brazil's Grain Production is in Four States Weaker Brazilian Currency could Encourage Soybean Sales,decline jbs create opening small medium processor popcorn acreage rebound mato grosso lead brazil production fertilizer delivery brazil decline first trimester conventional soy production mato grosso increase safrinha corn harvest begin brazil corn price decline low grain price challenge brazilian farmer trip eastern illinois western indiana organization promote conventional soy production brazil nearly brazil grain production four state weaker brazilian currency encourage soybean sale,89,64
2017-06-09,U.S. Crop Conditions Decline due to Hotter and Dryer Conditions,As Soy Prices Improve Brazilian Farmers Cautiously Optimistic,2017 U.S. Corn Condition Improves Slightly Soy Condition Declines,Comparing Acreage and Production - U.S. Brazil and Argentina,Planting Prep on Hold in Paraguay due to Proposed Soy Export Tax,2017 U. S. Corn Condition Steady Soybeans Decline Slightly,Paraguayan Congress Proposes Export Tax on Soybeans,Soy Production in Uruguay Rebounds to Record High Production,Argentine Farmers Planted 2.6 Times more Soy than Corn in 2016/17,Farmers in Mato Grosso worried about Corn Prices and Storage,"9,43",0,-1,U.S. Crop Conditions Decline due to Hotter and Dryer Conditions Farmers in Mato Grosso worried about Corn Prices and Storage As Soy Prices Improve Brazilian Farmers Cautiously Optimistic 2017 U.S. Corn Condition Improves Slightly Soy Condition Declines Comparing Acreage and Production - U.S. Brazil and Argentina Planting Prep on Hold in Paraguay due to Proposed Soy Export Tax 2017 U. S. Corn Condition Steady Soybeans Decline Slightly Paraguayan Congress Proposes Export Tax on Soybeans Soy Production in Uruguay Rebounds to Record High Production Argentine Farmers Planted 2.6 Times more Soy than Corn in 2016/17,crop condition decline due hotter dryer condition farmer mato grosso worried corn price storage soy price improve brazilian farmer cautiously optimistic corn condition improves slightly soy condition decline comparing acreage production brazil argentina planting prep hold paraguay due proposed soy export tax corn condition steady soybean decline slightly paraguayan congress proposes export tax soybean soy production uruguay rebound record high production argentine farmer planted time soy corn,94,67
2017-07-12,Corn Harvest in Mato Grosso Wrapping Up Prices Disappoint,U.S. Corn Crop Declines Slightly Soybeans Improve Slightly,Brazil Poised to Surpass the United States in Soybean Production,Low Commodity Prices Worry Parana Farmers in Southern Brazil,Trip Report - Iowa Minn. N. Dakota S. Dakota Northern Illinois,Soybean-Free Institute (Soja Livre) Created in Mato Grosso,U.S. Corn Condition Declines Slightly Soybeans Improve,Parana Farmers may Plant their 2017/18 Soy Starting on Sept. 11th,Soybean Growing Season in Roraima Brazil Same as in the U.S.,Trip Report - Indiana and Western Ohio,"9,45",0,0,Corn Harvest in Mato Grosso Wrapping Up Prices Disappoint Trip Report - Indiana and Western Ohio U.S. Corn Crop Declines Slightly Soybeans Improve Slightly Brazil Poised to Surpass the United States in Soybean Production Low Commodity Prices Worry Parana Farmers in Southern Brazil Trip Report - Iowa Minn. N. Dakota S. Dakota Northern Illinois Soybean-Free Institute (Soja Livre) Created in Mato Grosso U.S. Corn Condition Declines Slightly Soybeans Improve Parana Farmers may Plant their 2017/18 Soy Starting on Sept. 11th Soybean Growing Season in Roraima Brazil Same as in the U.S.,corn harvest mato grosso wrapping price disappoint trip indiana western ohio corn crop decline slightly soybean improve slightly brazil poised surpass united state soybean production low commodity price worry parana farmer southern brazil trip iowa minn dakota dakota northern illinois soybeanfree institute soja livre created mato grosso corn condition decline slightly soybean improve parana farmer plant soy starting sept soybean growing season roraima brazil,91,64
2017-08-10,Imea increases Estimate of Mato Grosso's Corn Production,U.S. Corn Condition declines Slightly Soybeans hold Steady,Farmers in Parana may Plant First Soybeans in Brazil,Farmers in Southern Brazil may start Planting Soybeans in 10 days,Soy Acreage up Soy Production Down in R. Grande do Sul in 2017/18,Brazilian Cotton Producers to Increase Acreage 11% in 2017/18,Bolivia will Sell Urea to Brazil and Brazil will Sell Soybeans to Bolivia,U.S. Corn Condition Unchanged Soybeans Improve Slightly,Ethanol is Option for Excess Corn Production in Mato Grosso,Slow Selling Results in Shortage of Grain Storage in South America,"9,85",1,1,Imea increases Estimate of Mato Grosso's Corn Production Slow Selling Results in Shortage of Grain Storage in South America U.S. Corn Condition declines Slightly Soybeans hold Steady Farmers in Parana may Plant First Soybeans in Brazil Farmers in Southern Brazil may start Planting Soybeans in 10 days Soy Acreage up Soy Production Down in R. Grande do Sul in 2017/18 Brazilian Cotton Producers to Increase Acreage 11% in 2017/18 Bolivia will Sell Urea to Brazil and Brazil will Sell Soybeans to Bolivia U.S. Corn Condition Unchanged Soybeans Improve Slightly Ethanol is Option for Excess Corn Production in Mato Grosso,imea increase estimate mato grossos corn production slow selling result shortage grain storage south america corn condition decline slightly soybean hold steady farmer parana plant first soybean brazil farmer southern brazil start planting soybean day soy acreage soy production grande sul brazilian cotton producer increase acreage bolivia sell urea brazil brazil sell soybean bolivia corn condition unchanged soybean improve slightly ethanol option excess corn production mato grosso,99,67
2017-09-12,Conab 1st 2017/18 Brazilian Crop Est. - Soybeans 107 mt Corn 93 mt,2017/18 Brazilian Soybean Acreage Increase by Regions,Reduced Spray Intervals to Control Soybean Rust in Brazil,Parana Farmers Accelerated their 2017/18 Soybean Planting,New Facility in Mato Grosso to Produce Ethanol from Soybeans,Mato Grosso Farmers have sold 15% of their 2017/18 Soy Production,Corn Offers Better Returns than Soybeans for Farmers in Argentina,2017 U.S. Corn Condition Steady Soybeans improve Slightly,Brazil Soybean Planting off to a Slow Start less than 1% Planted,Brazil Wheat Crop may Disappoint in both Yield and Price,"9,42",0,-1,Conab 1st 2017/18 Brazilian Crop Est. - Soybeans 107 mt Corn 93 mt Brazil Wheat Crop may Disappoint in both Yield and Price 2017/18 Brazilian Soybean Acreage Increase by Regions Reduced Spray Intervals to Control Soybean Rust in Brazil Parana Farmers Accelerated their 2017/18 Soybean Planting New Facility in Mato Grosso to Produce Ethanol from Soybeans Mato Grosso Farmers have sold 15% of their 2017/18 Soy Production Corn Offers Better Returns than Soybeans for Farmers in Argentina 2017 U.S. Corn Condition Steady Soybeans improve Slightly Brazil Soybean Planting off to a Slow Start less than 1% Planted,conab brazilian crop est soybean corn brazil wheat crop disappoint yield price brazilian soybean acreage increase region reduced spray interval control soybean rust brazil parana farmer accelerated soybean planting facility mato grosso produce ethanol soybean mato grosso farmer sold soy production corn offer better return soybean farmer argentina corn condition steady soybean improve slightly brazil soybean planting slow start less planted,97,61
2017-10-12,Slow Soy Planting in Goias could impact Safrinha Corn Production,2017/18 Brazilian Soybean Planting Remains Slow,Brazilian Currency Weakens - Brazilian Farmers Increase Sales,Margins on Soy Production in Mato Grosso in 2017/18 will be Tight,66% of Old Crop Soybeans Sold in Argentina 5% of New Crop Sold,Rate of Deforestation in Brazilian Amazon Region declines in 2017,Dry Weather Delays Soy Planting in Northern Mato Grosso,October Crop Report - Split Decision for U.S. Corn and Soybeans,Mato Grosso to Produce Less Soybeans and Corn in 2017/18,Record Soy Carryover in Argentina expected to Pressure Prices,"9,66",1,1,Slow Soy Planting in Goias could impact Safrinha Corn Production Record Soy Carryover in Argentina expected to Pressure Prices 2017/18 Brazilian Soybean Planting Remains Slow Brazilian Currency Weakens - Brazilian Farmers Increase Sales Margins on Soy Production in Mato Grosso in 2017/18 will be Tight 66% of Old Crop Soybeans Sold in Argentina 5% of New Crop Sold Rate of Deforestation in Brazilian Amazon Region declines in 2017 Dry Weather Delays Soy Planting in Northern Mato Grosso October Crop Report - Split Decision for U.S. Corn and Soybeans Mato Grosso to Produce Less Soybeans and Corn in 2017/18,slow soy planting goias impact safrinha corn production record soy carryover argentina expected pressure price brazilian soybean planting remains slow brazilian currency weakens brazilian farmer increase sale margin soy production mato grosso tight old crop soybean sold argentina crop sold rate deforestation brazilian amazon region decline dry weather delay soy planting northern mato grosso october crop split decision corn soybean mato grosso produce less soybean corn,98,66
2017-11-09,Brazilian Farmers Slow Sellers in spite of Increasing Prices,Brazilian Cotton Acreage could increase 20% in 2017/18,Scientists Confirm Soybean Rust Overwintered in Argentina,Second Half of Brazil Soy Planting Progressing Ahead of Average,Normal Planting Pace for Argentine Soy Corn Slower than Average,Second Half of Brazil Soybean Planting Progressing Normally,First Case of Soybean Rust in Commercial Fields Confirmed in Brazil,Brazilian Farmers Hope for better Corn Prices in 2018,Weaker Currency Stimulates Corn Sales in Brazil,Mato Grosso's Corn Production could decline 4 mt in 2017/18,"9,87",1,1,Brazilian Farmers Slow Sellers in spite of Increasing Prices Mato Grosso's Corn Production could decline 4 mt in 2017/18 Brazilian Cotton Acreage could increase 20% in 2017/18 Scientists Confirm Soybean Rust Overwintered in Argentina Second Half of Brazil Soy Planting Progressing Ahead of Average Normal Planting Pace for Argentine Soy Corn Slower than Average Second Half of Brazil Soybean Planting Progressing Normally First Case of Soybean Rust in Commercial Fields Confirmed in Brazil Brazilian Farmers Hope for better Corn Prices in 2018 Weaker Currency Stimulates Corn Sales in Brazil,brazilian farmer slow seller spite increasing price mato grossos corn production decline brazilian cotton acreage increase scientist confirm soybean rust overwintered argentina second half brazil soy planting progressing ahead average normal planting pace argentine soy corn slower average second half brazil soybean planting progressing normally first case soybean rust commercial field confirmed brazil brazilian farmer hope better corn price weaker currency stimulates corn sale brazil,89,65
2017-12-12,Paraguay expected to Produce Good Soybean Crop,Weather Favorable for Brazilian Soybean Crop,Brazilian Corn Production yet to be Determined,Soybean Planting Extension in Parana criticized by Industry,Wet Weather in Parana making it difficult to control Soybean Rust,Cotton Acreage in Mato Grosso expected to increase 15.8%,Recent Rains help to Stabilize Soybean Crop in Paraguay,Brazilian Weather Beneficial for Soybean Development,Soybean Planting Date Extended in the State of Parana,Soybean Crop in Sorriso Mato Grosso doing Fine,"9,89",0,0,Paraguay expected to Produce Good Soybean Crop Soybean Crop in Sorriso Mato Grosso doing Fine Weather Favorable for Brazilian Soybean Crop Brazilian Corn Production yet to be Determined Soybean Planting Extension in Parana criticized by Industry Wet Weather in Parana making it difficult to control Soybean Rust Cotton Acreage in Mato Grosso expected to increase 15.8% Recent Rains help to Stabilize Soybean Crop in Paraguay Brazilian Weather Beneficial for Soybean Development Soybean Planting Date Extended in the State of Parana,paraguay expected produce good soybean crop soybean crop sorriso mato grosso fine weather favorable brazilian soybean crop brazilian corn production yet determined soybean planting extension parana criticized industry wet weather parana making difficult control soybean rust cotton acreage mato grosso expected increase recent rain help stabilize soybean crop paraguay brazilian weather beneficial soybean development soybean planting date extended state parana,80,60
